,title,condition,price,location,price($),country_code,store_name,store_type,simple_condition,brand,has_brand,title_length,log_price,log_title_length
10953,Essebi 80s Genuine Leather Jacket Used Men's Size 50 Brown XYM591L,Pre-Owned,$35.97,Italy,35.97,IT,eBay,International,Used,Other,False,66,3.6101067729485403,4.204692619390966
10954,Conbipel Used Leather Jacket Men Size 50 Brown LLE121,Pre-Owned,$49.67,Italy,49.67,IT,eBay,International,Used,Other,False,53,3.9253340194878183,3.9889840465642745
10955,Black Leather Jacket - Black Moment,Pre-Owned,$100.60,South Korea,100.6,KR,eBay,International,Used,Other,False,35,4.6210435351443815,3.58351893845611
10956,Oltremoda Men's Brown Leather Jacket Size 54 LLV1819,Pre-Owned,$80.63,Italy,80.63,IT,eBay,International,Used,Other,False,52,4.402196841463264,3.970291913552122
10957,EUROMODA Leather Jacket Used Woman Black Size 50 PGS906PI,Pre-Owned,$38.85,Italy,38.85,IT,eBay,International,Used,Other,False,57,3.685122405236224,4.060443010546419
10958,Jacket henry MOREH Leather Black Size 50 Cod. AT41,Pre-Owned,$91.10,Italy,91.1,IT,eBay,International,Used,Other,False,50,4.522874943261261,3.9318256327243257
10959,Jacket Coat Man Skin Colour Black Size 50 Cod. AN324,Pre-Owned,$57.07,Italy,57.07,IT,eBay,International,Used,Other,False,52,4.061649179383958,3.970291913552122
10960,Promod Jacket Eco-Leather Used Man Brown Size 42 XXR06L,Pre-Owned,$42.61,Italy,42.61,IT,eBay,International,Used,Other,False,55,3.775286481854675,4.02535169073515
10961,Vera Pelle Leather Jacket Used Woman Size 46 Black LLD492,Pre-Owned,$40.90,Italy,40.9,IT,eBay,International,Used,Other,False,57,3.735285826928092,4.060443010546419
10962,Conbipel Leather Jacket Used Woman Black Size 44 PGC1064PI,Pre-Owned,$38.85,Italy,38.85,IT,eBay,International,Used,Other,False,58,3.685122405236224,4.07753744390572
10963,Jacket Skin Used Man Light Brown Size 52-PGC049PI,Pre-Owned,$46.20,Italy,46.2,IT,eBay,International,Used,Other,False,49,3.8543938925915096,3.912023005428146
10964,Ace Leather Jacket Used Woman Size 48 Brown XYE169L,Pre-Owned,$49.10,Italy,49.1,IT,eBay,International,Used,Other,False,51,3.914021008090819,3.9512437185814275
10965,Leather Jacket Used Woman Grey Size 44 PGC1144PI,Pre-Owned,$38.93,Italy,38.93,IT,eBay,International,Used,Other,False,48,3.6871279210751298,3.8918202981106265
10966,Real Leather Jacket Used Men Size 50 Brown XYR728L,Pre-Owned,$40.40,Italy,40.4,IT,eBay,International,Used,Other,False,50,3.7232808808312687,3.9318256327243257
10967,Brown Leather Jacket For Men Size L PGE096LZ,Pre-Owned,$18.15,Italy,18.15,IT,eBay,International,Used,Other,False,44,2.952302715626655,3.8066624897703196
10968,Rossi Jacket Genuine Leather Used Man Size 52 Beige LLV79,Pre-Owned,$38.93,Italy,38.93,IT,eBay,International,Used,ROSSI,True,57,3.6871279210751298,4.060443010546419
10969,Poy Genuine Leather Jacket Used Women Size L Black LLD69,Pre-Owned,$35.97,Italy,35.97,IT,eBay,International,Used,Other,False,56,3.6101067729485403,4.04305126783455
10970,Tcm Brown Leather Jacket Used Woman Size 42/44 Pgs606Pi,Pre-Owned,$35.97,Italy,35.97,IT,eBay,International,Used,Other,False,55,3.6101067729485403,4.02535169073515
10971,Evit Trench Genuine Leather Man Tg54 Black LLE18,Pre-Owned,$73.82,Italy,73.82,IT,eBay,International,Used,Other,False,48,4.31508522892,3.8918202981106265
10972,Visoko Jacket Genuine Leather Used Woman Size 50 Black LLD185,Pre-Owned,$43.50,Italy,43.5,IT,eBay,International,Used,Other,False,61,3.7954891891721947,4.127134385045092
10974,Coat MC.Cartney Bianchi Woman Blue Genuine Leather Size 46 Mon 1092 Lz,Pre-Owned,$27.77,Italy,27.77,IT,eBay,International,Used,Other,False,70,3.3593331775634567,4.2626798770413155
